  HORA     USUARIO                       MENSAJE                                DIRECCION IP

02:24:33  NOVA            USUARIO INICIA MAL SESION EN EL SISTEMA               181.61.208.27
02:26:49  ROBERTO_NIETO   USUARIO INICIA MAL SESION EN EL SISTEMA               181.61.208.27
12:14:00  BDJDJD          USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO           181.61.208.27
12:17:26  <SCRIPT>ALERT("ALERTA");</SCRIPT> USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
12:19:31  BDJDJD          USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
12:19:46  HZJ             USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
12:22:45  HZJ             USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
12:22:52  UZNZ            USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
12:57:50  UZNZ            USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
13:20:56  SDD             USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
13:30:18  ROOT            INGRESO AL SISTEMA                               181.61.208.27
13:48:16  KFKD            USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
13:48:24  ROOT            INGRESO AL SISTEMA                               181.61.208.27
14:01:43  KZKS            USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
14:01:53  ROOT            INGRESO AL SISTEMA                               181.61.208.27
14:04:30  ZNZ             USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
14:10:08  REREER          USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
14:10:16  ROOT            INGRESO AL SISTEMA                               181.61.208.27
15:10:14  RENE            USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
15:55:07  DSSD            USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
16:00:41  RENE            USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     181.61.208.27
16:00:53  ROOT            INGRESO AL SISTEMA                               181.61.208.27
19:08:45  ROKKO           USUARIO INGRESO MAL LA CONTRASEÑA O USUARIO     191.95.61.6
19:44:18  ROOT            INGRESO AL SISTEMA                               191.95.61.6
23:50:34  ROOT            INGRESO AL SISTEMA                               67.73.245.188
